BoidAmount,DeltaTime,EFPS,BoidViewRadius,BoidAvoidRadius,Alignment,Separation,CentrePull,Speed,
1000,0.0031938,313.1066,2,2,0.37,1,0.01,25,
1000,0.0031411,318.3598,2,2,0.37,1,0.01,25,
1000,0.00288,347.2222,2,2,0.37,1,0.01,25,
1000,0.0032004,312.4609,2,2,0.37,1,0.01,25,
1000,0.0030392,329.0339,2,2,0.37,1,0.01,25,
1000,0.0026539,376.8039,2,2,0.37,1,0.01,25,
1000,0.0025665,389.6357,2,2,0.37,1,0.01,25,
1000,0.0029485,339.1555,2,2,0.37,1,0.01,25,
1000,0.0026284,380.4596,2,2,0.37,1,0.01,25,
1000,0.004959,201.6536,2,2,0.37,1,0.01,25,
1000,0.0032682,305.9788,2,2,0.37,1,0.01,25,
1000,0.0032114,311.3907,2,2,0.37,1,0.01,25,
1000,0.0038055,262.7776,2,2,0.37,1,0.01,25,
1000,0.0040128,249.2026,2,2,0.37,1,0.01,25,
1000,0.003144,318.0662,2,2,0.37,1,0.01,25,
1000,0.0035764,279.6108,2,2,0.37,1,0.01,25,
1000,0.002447,408.6637,2,2,0.37,1,0.01,25,
1000,0.0027776,360.023,2,2,0.37,1,0.01,25,
1000,0.0028694,348.5049,2,2,0.37,1,0.01,25,
1000,0.0052499,190.4798,2,2,0.37,1,0.01,25,
1000,0.0034311,291.4517,2,2,0.37,1,0.01,25,
1000,0.0035625,280.7018,2,2,0.37,1,0.01,25,
1000,0.0026384,379.0176,2,2,0.37,1,0.01,25,
1000,0.0030038,332.9117,2,2,0.37,1,0.01,25,
1000,0.0029849,335.0196,2,2,0.37,1,0.01,25,
1000,0.0026355,379.4347,2,2,0.37,1,0.01,25,
1000,0.0029083,343.8435,2,2,0.37,1,0.01,25,
1000,0.0027811,359.5699,2,2,0.37,1,0.01,25,
1000,0.0030623,326.5519,2,2,0.37,1,0.01,25,
1000,0.0055758,179.3465,2,2,0.37,1,0.01,25,
1000,0.0045043,222.0101,2,2,0.37,1,0.01,25,
1000,0.0033138,301.7683,2,2,0.37,1,0.01,25,
1000,0.003507,285.144,2,2,0.37,1,0.01,25,
1000,0.0053554,186.7274,2,2,0.37,1,0.01,25,
1000,0.0042045,237.8404,2,2,0.37,1,0.01,25,
1000,0.0027427,364.6042,2,2,0.37,1,0.01,25,
1000,0.0041001,243.8965,2,2,0.37,1,0.01,25,
